,price_aprox_usd,surface_total_in_m2,rooms,price_usd_per_m2,barrio
1611,205000.0,51.0,1.0,4019.6078431372553,PALERMO
1612,389000.0,85.0,3.0,4576.470588235295,PALERMO
1613,177500.0,43.0,1.0,4127.906976744186,PALERMO
1614,320000.0,57.0,5.0,5614.0350877193,PALERMO
1615,400000.0,150.0,6.0,2666.6666666666665,PALERMO
1616,169000.0,59.0,1.0,2864.406779661017,PALERMO
1620,305000.0,67.0,3.0,4552.238805970149,PALERMO
1621,380000.0,158.0,4.0,2405.0632911392404,PALERMO
1622,485000.0,152.0,6.0,3190.7894736842104,PALERMO
1624,427300.0,131.0,4.0,3261.8320610687024,PALERMO
1626,185000.0,63.0,3.0,2936.5079365079364,PALERMO
1627,239000.0,51.0,3.0,4686.274509803921,PALERMO
1628,115000.0,59.0,2.0,1949.1525423728813,PALERMO
1629,135000.0,59.0,2.0,2288.135593220339,PALERMO
1630,225000.0,55.0,2.0,4090.909090909091,PALERMO
1633,265000.0,83.0,3.0,3192.7710843373493,PALERMO
1634,345000.0,110.0,4.0,3136.3636363636365,PALERMO
1636,440000.0,148.0,3.0,2972.972972972973,PALERMO
1637,207704.0,67.0,2.0,3100.059701492537,PALERMO
1638,285742.0,128.0,3.0,2232.359375,PALERMO
1640,157373.0,58.0,1.0,2713.327586206897,PALERMO
1641,425105.0,171.0,4.0,2485.994152046784,PALERMO
1644,165000.0,42.0,1.0,3928.571428571429,PALERMO
1645,170000.0,63.0,3.0,2698.4126984126983,PALERMO
1646,175000.0,50.0,2.0,3500.0,PALERMO
1647,138000.0,45.0,2.0,3066.666666666666,PALERMO
1648,110000.0,37.0,1.0,2972.972972972973,PALERMO
1649,265000.0,91.0,3.0,2912.087912087912,PALERMO
1652,148000.0,60.0,3.0,2466.6666666666665,PALERMO
1653,122079.01,39.0,2.0,3130.2310256410256,PALERMO
1654,138000.0,43.0,1.0,3209.302325581395,PALERMO
1657,279000.0,86.0,4.0,3244.186046511628,PALERMO
1659,114000.0,40.0,2.0,2850.0,PALERMO
1660,190000.0,66.0,3.0,2878.787878787879,PALERMO
1662,98000.0,38.0,2.0,2578.9473684210525,PALERMO
1663,195000.0,68.0,3.0,2867.6470588235293,PALERMO
1668,165000.0,83.0,2.0,1987.951807228916,PALERMO
1670,118000.0,43.0,1.0,2744.1860465116283,PALERMO
1671,190000.0,87.0,2.0,2183.908045977012,PALERMO
1672,350000.0,72.0,3.0,4861.11111111111,PALERMO
1673,130000.0,40.0,2.0,3250.0,PALERMO
1674,510000.0,158.0,4.0,3227.8481012658226,PALERMO
1675,129640.0,45.0,2.0,2880.888888888889,PALERMO
1676,187630.0,67.0,3.0,2800.4477611940297,PALERMO
1677,133000.0,50.0,2.0,2660.0,PALERMO
1678,215000.0,64.0,2.0,3359.375,PALERMO
1679,330000.0,99.0,3.0,3333.333333333333,PALERMO
1680,289000.0,89.0,3.0,3247.191011235955,PALERMO
1682,132000.0,41.0,1.0,3219.512195121951,PALERMO
1683,340000.0,119.0,5.0,2857.142857142857,PALERMO
1685,234031.0,63.0,2.0,3714.777777777778,PALERMO
